trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
55,False,"{'a': 0.5, 'e': 0.75957212322496848}",25,0,-92.24452136954301,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.75578374145572547}",20,0,-39.67934991402153,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.75201425431938262}",25,1,-17.78424658120616,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.74826356757856527}",20,4,-65.35125623405548,"{0: 10, 1: 2, 2: 3, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.74453158746590942}",20,0,-23.992525566679696,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.74081822068171788}",25,4,-52.11398383888893,"{0: 13, 1: 1, 2: 7, 3: 0, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.73712337439162778}",25,0,-148.51975142132926,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
62,False,"{'a': 0.5, 'e': 0.73344695622428924}",20,0,-250.7355489482152,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 6}",0
63,False,"{'a': 0.5, 'e': 0.72978887426905681}",20,0,-32.54069075809905,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.72614903707369094}",25,1,-41.148310310811304,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 0}",1
65,False,"{'a': 0.5, 'e': 0.72252735364207221}",20,0,-73.01089773053761,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.71892373343192617}",25,5,-88.03339479681834,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",1
67,False,"{'a': 0.5, 'e': 0.71533808635255991}",25,16,-18.149603864360394,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.71177032276260965}",30,0,-218.25229819067684,"{0: 13, 1: 6, 2: 7, 3: 1, 4: 3}",0
69,False,"{'a': 0.5, 'e': 0.70822035346779999}",25,0,-74.43325750867982,"{0: 16, 1: 2, 2: 6, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.70468808971871344}",30,14,-52.60732684152964,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
71,False,"{'a': 0.5, 'e': 0.70117344320857244}",25,17,-26.999218675385393,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.69767632607103103}",25,1,-71.20878588789085,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 1}",1
73,False,"{'a': 0.5, 'e': 0.69419665087797888}",20,0,-20.64605645007063,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
74,False,"{'a': 0.5, 'e': 0.69073433063735468}",25,0,-10.740053057991172,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.68728927879097224}",20,12,-39.665790124805326,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.68386140921235583}",20,0,-105.14859715623803,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
77,False,"{'a': 0.5, 'e': 0.68045063620458768}",25,0,1.8183893193065988,"{0: 20, 1: 4, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.67705687449816465}",25,5,-85.3854013567252,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",1
79,False,"{'a': 0.5, 'e': 0.67368003924886766}",20,0,-114.86783301820783,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
80,False,"{'a': 0.5, 'e': 0.67032004603563933}",20,0,-153.9312234183347,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
81,False,"{'a': 0.5, 'e': 0.66697681085847438}",20,0,-84.30663273382262,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
82,False,"{'a': 0.5, 'e': 0.6636502501363194}",25,0,-63.459073591133695,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.66034028070498285}",25,0,-104.66460675041094,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
